   112,    1
   340,    2
   568,    3
   684,    4
   912,    5
  1028,    6
  1144,    7
  1372,    8
  1488,    9
  1605,   10
  1833,   11
  1949,   12
  2177,   13
  2293,   14
  2409,   15
  2526,   16
  2642,   17
  2870,   18
  2986,   19
  3102,   20
  3218,   21
  3334,   22
  3450,   23
  3566,   24
  3682,   26
  3798,   27
  3914,   28
  4030,   29
  4146,   31
  4262,   32
  4378,   33
  4494,   38
  4946,   39
  5062,   41
  5178,   43
  5294,   44
  5410,   46
  5526,   47
  5642,   49
  5758,   51
  5874,   53
  5990,   54
  6106,   56
  6222,   58
  6338,   59
  6454,   61
  6570,   63
  6686,   65
  6914,   69
  7031,   71
  7147,   73
  7263,   74
  7379,   77
  7495,   79
  7723,   86
  7839,   87
  7955,   90
  8071,   91
  8187,   96
  8303,   97
  8419,  100
  8535,  102
  8651,  106
  8767,  109
  8883,  110
  8999,  113
  9115,  121
  9343,  122
  9459,  127
  9575,  136
  9915,  139
 10031,  140
 10147,  143
 10263,  146
 10379,  151
 10495,  152
 10611,  155
 10727,  158
 10843,  162
 10959,  168
 11075,  179
 11191,  190
 11307,  206
 11423,  223
 11539,  241
 11655,  262
 11771,  278
 11887,  297
 12003,  316
 12119,  332
 12235,  350
 12351,  367
 12467,  387
 12583,  402
 12699,  416
 12815,  436
 12931,  449
 13047,  466
 13164,  480
 13280,  496
 13396,  512
 13512,  524
 13628,  536
 13744,  553
 13860,  569
 13976,  582
 14092,  594
 14208,  605
 14324,  619
 14440,  628
 14556,  640
 14672,  653
 14788,  664
 14904,  677
 15020,  689
 15136,  696
 15252,  709
 15368,  721
 15484,  729
 15600,  740
 15716,  751
 15832,  764
 15948,  771
 16064,  781
 16180,  789
 16296,  799
 16412,  809
 16528,  817
 16645,  828
 16761,  836
 16877,  843
 16993,  853
 17109,  865
 17225,  871
 17341,  881
 17457,  890
 17573,  899
 17689,  909
 17805,  919
 17921,  927
 18037,  938
 18153,  943
 18269,  952
 18386,  961
 18502,  970
 18618,  977
 18734,  986
 18850,  992
 18966, 1000
 19082, 1010
 19198, 1018
 19314, 1023
